3589,30720000
3590,30720000
3591,30720000
3592,30720000
3593,30720001
3594,30720000
3595,30720000
3596,30719999
3597,30720000
3599,30719999
3600,30720000
3601,30720000
3602,30720000
3603,30719999
3604,30720000
3605,30720000
3606,30719999
3607,30720000
3608,30720000
3609,30720000
3610,30719999
3611,30720001
3612,30719999
3613,30720000
3614,30720000
3615,30719999
3616,30720000
3617,30720001
3618,30719999
3619,30720000
3620,30720000
3621,30719999
3622,30720000
3623,30720000
3624,30719999
3625,30720000
3626,30720000
3627,30720000
3628,30720000
3629,30719999
3630,30720000
3631,30719999
3632,30719999
3633,30719998
3634,30720000
3635,30719999
3636,30719999
3637,30719999
3638,30720000
3639,30719999
3640,30719999
3641,30719999
3642,30720000
3643,30719999
3644,30719999
3645,30719999
3646,30719999
3647,30720000
3648,30719999
3650,30719999
3651,30720000
3652,30719999
3653,30719999
3654,30719999
3655,30719999
3656,30720000
3657,30719999
3658,30719999
3659,30719999
3660,30719998
3661,30719999
3662,30720000
3663,30719998
3664,30720000
3665,30719999
3666,30719999
3667,30719999
3668,30719999
3669,30719999
3670,30719998
3671,30719999
3672,30720000
3673,30719999
3674,30719998
3675,30719999
3676,30719999
3677,30719999
3678,30719998
3679,30720000
3680,30719999
3681,30719999
3682,30719999
3683,30719998
3684,30719999
3685,30719998
3686,30719999
3687,30719997
3688,30719999
3689,30719998
3690,30719997
3691,30719998
3692,30719998
3693,30721511
3694,30720000
3696,30720000
3697,30720000
3698,30720001
3699,30720000
3700,30720000
3701,30720001
3702,30720001
3703,30720000
3704,30720000
3705,30720000
3706,30720001
3707,30720000
3708,30720000
3709,30720000
3710,30720001
3711,30720000
3712,30720000
3713,30720000
3714,30720001
3715,30720000
3716,30720001
3717,30720000
3718,30720000
3719,30720001
3720,30720000
3721,30720001
3722,30720000
3723,30720001
3724,30720001
3725,30720001
3726,30720001
3727,30720000
3728,30720000
3729,30720001
3730,30720001
3731,30720000
3732,30720001
3733,30720001
3734,30720000
3735,30720001
3736,30720001
3737,30720000
3738,30720001
3739,30720001
3740,30720001
3741,30720001
3742,30720001
3744,30720000
3745,30720001
3746,30720001
3747,30720001
3748,30720001
3749,30720000
3750,30720001
3751,30720001
3752,30720001
3753,30720001
3754,30720001
3755,30720001
3756,30720001
3757,30720001
3758,30720001
3759,30720000
3760,30720001
3761,30720000
3762,30720001
3763,30720000
3764,30720000
3765,30720001
3766,30720001
3767,30720000
3768,30720000
3769,30720001
3770,30720001
3771,30720000
3772,30720001
3773,30720000
3774,30720000
3775,30720000
3776,30720001
3777,30720001
3778,30720000
3779,30720001
3780,30720000
3781,30720001
3782,30720000
3783,30720002
3784,30720000
3785,30720001
3786,30720001
3787,30720001
3788,30720000
3789,30720000
3790,30720000
3791,30720000
3792,30720001
3793,30720001
3795,30720001
3796,30720001
3797,30720001
3798,30720000
3799,30720001
3800,30719999
3801,30720001
3802,30720000
3803,30720001
3804,30720000
3805,30720000
3806,30720000
3807,30720001
3808,30720000
3809,30720001
3810,30720000
3811,30720000
3812,30720000
3813,30720001
3814,30720000
3815,30720000
3816,30720001
3817,30720000
3818,30720000
3819,30720001
3820,30720000
3821,30720001
3822,30720000
3823,30720000
3824,30720001
3825,30720000
3826,30720000
3827,30720001
3828,30720000
3829,30720000
3830,30720000
3831,30720001
3832,30720000
3833,30720001
3834,30720000
3835,30720001
3836,30720000
3837,30720001
3838,30720000
3839,30720001
3840,30720000
3841,30720001
3842,30720000
3843,30720000
3845,30720000
3846,30720001
3847,30720001
3848,30720001
3849,30720000
3850,30720001
3851,30720000
3852,30720001
3853,30720001
3854,30720001
3855,30720001
3856,30720000
3857,30720001
3858,30720001
3859,30720001
3860,30720001
3861,30720000
3862,30720002
3863,30720000
3864,30720001
3865,30720001
3866,30720002
3867,30720000
3868,30720001
3869,30720001
3870,30720001
3871,30720002
3872,30720001
3873,30720001
3874,30720001
3875,30720001
3876,30720002
3877,30720001
3878,30720001
3879,30720001
3880,30720002
3881,30720001
3882,30720002
3883,30720001
3884,30720000
3885,30720002
3886,30720001
3887,30720001
3888,30720002
3889,30720002
3890,30720001
3891,30720001
3892,30720002
3894,30720001
3895,30720001
3896,30720002
3897,30720001
3898,30720001
3899,30720001
3900,30720001
3901,30720001
3902,30720001
3903,30720002
3904,30720001
3905,30720001
3906,30720002
3907,30720001
3908,30720002
3909,30720001
3910,30720001
3911,30720001
3912,30720002
3913,30720001
3914,30720001
3915,30720001
3916,30720002
3917,30720001
3918,30720002
3919,30720001
3920,30720001
3921,30720003
3922,30720001
3923,30720002
3924,30720001
3925,30720001
3926,30720002
3927,30720002
3928,30720002
3929,30720001
3930,30720002
3931,30720001
3932,30720002
3933,30720001
3934,30720001
3935,30720002
3936,30720002
3937,30720001
3938,30720002
3939,30720001
3940,30720001
3941,30720002
3942,30720001
3943,30720001
3945,30720002
3946,30720001
3947,30720001
3948,30720002
3949,30720001
3950,30720001
3951,30720001
3952,30720001
3953,30720001
3954,30720001
3955,30720001
3956,30720001
3957,30720000
3958,30720001
3959,30720001
3960,30720001
3961,30720000
3962,30720001
3963,30720001
3964,30720000
3965,30720002
3966,30720000
3967,30720001
3968,30720001
3969,30720001
3970,30720001
3971,30720001
3972,30720001
3973,30720001
3974,30720001
3975,30720001
3976,30720001
3977,30720001
3978,30720002
3979,30720001
3980,30720001
3981,30720001
3982,30720001
3983,30720002
3984,30720001
3985,30720001
3986,30720001
3987,30720001
3988,30720001
3989,30720001
3990,30720001
3991,30720001
3992,30720001
3993,30720001
3994,30720001
3996,30720001
3997,30720001
3998,30720002
3999,30720001
4000,30720001
4001,30720001
4002,30720001
4003,30720001
4004,30720001
4005,30720001
4006,30720001
4007,30720001
4008,30720001
4009,30720001
4010,30720001
4011,30720001
4012,30720002
4013,30720001
4014,30720001
4015,30720001
4016,30720001
4017,30720001
4018,30720002
4019,30720001
4020,30720001
4021,30720001
4022,30720002
4023,30720001
4024,30720001
4025,30720001
4026,30720001
4027,30720001
4028,30720002
4029,30720002
4030,30720001
4031,30720001
4032,30720002
4033,30720001
4034,30720002
4035,30720001
4036,30720002
4037,30720001
4038,30720001
4039,30720002
4040,30720002
4041,30720001
4042,30720002
4043,30720001
4045,30720002
4046,30720001
4047,30720001
4048,30720002
4049,30720002
4050,30720001
4051,30720002
4052,30720002
4053,30720002
4054,30720001
4055,30720002
4056,30720002
4057,30720001
4058,30720002
4059,30720001
4060,30720002
4061,30720002
4062,30720001
4063,30720002
4064,30720002
4065,30720002
4066,30720001
4067,30720002
4068,30720002
4069,30720001
4070,30720002
4071,30720001
4072,30720002
4073,30720002
4074,30720002
4075,30720001
4076,30720003
4077,30720001
4078,30720002
4079,30720002
4080,30720001
4081,30720002
4082,30720001
4083,30720002
4084,30720003
4085,30720001
4086,30720002
4087,30720002
4088,30720001
4089,30720002
4090,30720002
4091,30720001
4092,30720002
4093,30720002
4094,30720001
4096,30720002
4097,30720001
4098,30720002
4099,30720002
4100,30720002
4101,30720001
4102,30720002
4103,30720002
4104,30720001
4105,30720002
4106,30720001
4107,30720002
4108,30720002
4109,30720002
4110,30720001
4111,30720001
4112,30720002
4113,30720002
4114,30720002
4115,30720002
4116,30720001
4117,30720002
4118,30720002
4119,30720001
4120,30720002
4121,30720002
4122,30720002
4123,30720001
4124,30720002
4125,30720002
4126,30720001
4127,30720002
4128,30720002
4129,30720002
4130,30720001
4131,30720002
4132,30720002
4133,30720001
4134,30720002
4135,30720002
4136,30720001
4137,30720002
4138,30720001
4139,30720001
4140,30720001
4141,30720002
4142,30720001
4143,30720002
4144,30720001
4145,30720001
4146,30720002
4147,30720001
4149,30720002
4150,30720001
4151,30720001
4152,30720001
4153,30720002
4154,30720001
4155,30720001
4156,30720001
4157,30720002
4158,30720001
4159,30720001
4160,30720002
4161,30720001
4162,30720001
4163,30720001
4164,30720001
4165,30720001
4166,30720002
4167,30720001
4168,30720001
4169,30720001
4170,30720001
4171,30720001
4172,30720001
4173,30720001
4174,30720001
4175,30720001
4176,30720000
4177,30720001
4178,30720001
4179,30720000
